2025-06-19 12:25:56,720 | sentence_transformers.SentenceTransformer | INFO | __init__:211 | Use pytorch device_name: cpu
2025-06-19 12:25:56,721 | sentence_transformers.SentenceTransformer | INFO | __init__:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-19 12:26:02,628 | master_pipeline | INFO | __init__:161 | Semantic similarity model loaded
2025-06-19 12:26:03,061 | master_pipeline | INFO | __init__:970 | AI summarization enabled
2025-06-19 12:26:03,129 | master_pipeline | INFO | _load_processed_articles:1116 | Loaded 0 processed URLs
2025-06-19 12:26:03,130 | master_pipeline | INFO | __init__:992 | Enterprise News Pipeline initialized
2025-06-19 12:26:03,131 | master_pipeline | INFO | process_all_sources:1610 | 🚀 Starting enterprise pipeline - 5 sources, 5 workers
2025-06-19 12:26:03,133 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping Inc42 (max: 10 articles)
2025-06-19 12:26:03,135 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping Entrackr (max: 10 articles)
2025-06-19 12:26:03,137 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping Moneycontrol (max: 10 articles)
2025-06-19 12:26:03,141 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping StartupNews.fyi (max: 10 articles)
2025-06-19 12:26:03,142 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping IndianStartupNews (max: 10 articles)
2025-06-19 12:26:03,453 | master_pipeline | INFO | scrape_source:1256 | Entrackr: Found 1 potential articles
2025-06-19 12:26:03,523 | master_pipeline | INFO | scrape_source:1256 | IndianStartupNews: Found 9 potential articles
2025-06-19 12:26:04,057 | master_pipeline | INFO | scrape_source:1256 | Inc42: Found 12 potential articles
2025-06-19 12:26:04,353 | master_pipeline | INFO | scrape_source:1256 | Moneycontrol: Found 25 potential articles
2025-06-19 12:26:06,637 | master_pipeline | INFO | scrape_source:1256 | StartupNews.fyi: Found 85 potential articles
2025-06-19 12:26:06,913 | master_pipeline | INFO | scrape_source:1276 | ✅ Entrackr: Processed 'Mahaveer Finance raises Rs 200 Cr led by Elevation Capital...'
2025-06-19 12:26:07,047 | master_pipeline | WARNING | _generate_ai_summary:1477 | AI summary word count: 71 (expected 55-60)
2025-06-19 12:26:07,098 | master_pipeline | INFO | scrape_source:1276 | ✅ Inc42: Processed 'OnePlus India Audit Flags Compliance & Operational Issues...'
2025-06-19 12:26:07,117 | master_pipeline | INFO | scrape_source:1276 | ✅ IndianStartupNews: Processed 'Urban Company turns profitable in FY25, reports Rs 240 crore...'
2025-06-19 12:26:07,353 | master_pipeline | INFO | scrape_source:1276 | ✅ Moneycontrol: Processed 'IPO-bound Urban Company turns profitable in FY25, revenue gr...'
2025-06-19 12:26:09,415 | master_pipeline | INFO | scrape_source:1290 | ✅ Entrackr: Completed in 6.3s - 1 articles
2025-06-19 12:26:09,416 | master_pipeline | INFO | process_all_sources:1630 | ✅ entrackr: 1 articles collected
2025-06-19 12:26:09,843 | master_pipeline | INFO | scrape_source:1276 | ✅ StartupNews.fyi: Processed 'Apple eyes using AI to design its chips, technology executiv...'
2025-06-19 12:26:11,193 | master_pipeline | WARNING | _generate_ai_summary:1477 | AI summary word count: 68 (expected 55-60)
2025-06-19 12:26:11,379 | master_pipeline | INFO | scrape_source:1276 | ✅ IndianStartupNews: Processed 'NBFC firm Techfino raises Rs 65 crore in equity round to boo...'
2025-06-19 12:26:11,977 | master_pipeline | WARNING | _generate_ai_summary:1477 | AI summary word count: 68 (expected 55-60)
2025-06-19 12:26:12,005 | master_pipeline | INFO | scrape_source:1276 | ✅ Inc42: Processed 'Vi Partners AST SpaceMobile For Satcom Services...'
2025-06-19 12:26:12,859 | master_pipeline | WARNING | _generate_ai_summary:1477 | AI summary word count: 69 (expected 55-60)
2025-06-19 12:26:12,876 | master_pipeline | INFO | scrape_source:1276 | ✅ Moneycontrol: Processed 'Udaan builds payment system to cut external dependence, secu...'
2025-06-19 12:26:14,478 | master_pipeline | INFO | scrape_source:1276 | ✅ StartupNews.fyi: Processed 'Nauru Hopes To Become Crypto Hub...'
